per_dem,per_gop,state_abbr,county_name
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.377159472,0.528870018,AK,Alaska
0.23956855,0.734357893,AL,Autauga County
0.195653098,0.77351472,AL,Baldwin County
0.466602502,0.522714148,AL,Barbour County
0.214220393,0.769661637,AL,Bibb County
0.084699023,0.898518752,AL,Blount County
0.750904063,0.242288875,AL,Bullock County
0.427864134,0.563154865,AL,Butler County
0.278558764,0.692396994,AL,Calhoun County
0.418275512,0.56633764,AL,Chambers County
0.1451014,0.838712749,AL,Cherokee County
0.159353602,0.825417694,AL,Chilton County
0.427765548,0.564391855,AL,Choctaw County
0.441558442,0.549551639,AL,Clarke County
0.187766281,0.795800365,AL,Clay County
0.104715248,0.878444581,AL,Cleburne County
0.204455711,0.771462,AL,Coffee County
0.296272233,0.678875985,AL,Colbert County
0.469050894,0.521626165,AL,Conecuh County
0.340800306,0.646371817,AL,Coosa County
0.15039828,0.835883171,AL,Covington County
0.265994882,0.721529111,AL,Crenshaw County
0.100059016,0.878105049,AL,Cullman County
0.236772842,0.741150561,AL,Dale County
0.684783769,0.308809397,AL,Dallas County
0.141148509,0.834892279,AL,DeKalb County
0.228586912,0.748380978,AL,Elmore County
0.308814829,0.675869322,AL,Escambia County
0.238073331,0.739108433,AL,Etowah County
0.165690581,0.818081991,AL,Fayette County
0.18377248,0.791802593,AL,Franklin County
0.130542928,0.854876061,AL,Geneva County
0.823940765,0.172357055,AL,Greene County
0.595755306,0.396004994,AL,Hale County
0.285144069,0.701384558,AL,Henry County
0.250939805,0.727266238,AL,Houston County
0.17623286,0.800721674,AL,Jackson County
0.522493115,0.450220778,AL,Jefferson County
0.149329101,0.839561391,AL,Lamar County
0.254476593,0.714580166,AL,Lauderdale County
0.246939752,0.73391233,AL,Lawrence County
0.363928002,0.595148089,AL,Lee County
0.237055838,0.731573604,AL,Limestone County
0.731276213,0.262282804,AL,Lowndes County
0.827274806,0.159350709,AL,Macon County
0.39150828,0.559336063,AL,Madison County
0.512148338,0.477164779,AL,Marengo County
0.110904585,0.873063817,AL,Marion County
0.140511941,0.835607036,AL,Marshall County
0.41881545,0.557492334,AL,Mobile County
0.42317133,0.566617575,AL,Monroe County
0.620363321,0.358753119,AL,Montgomery County
0.224360385,0.747974635,AL,Morgan County
0.727497621,0.266983825,AL,Perry County
0.418369497,0.574468085,AL,Pickens County
0.386871401,0.589712092,AL,Pike County
0.226061204,0.75982231,AL,Randolph County
0.500470318,0.481291806,AL,Russell County
0.231100314,0.734275462,AL,Shelby County
0.146295174,0.832406358,AL,St. Clair County
0.741511501,0.247379127,AL,Sumter County
0.364501174,0.620025287,AL,Talladega County
0.284857328,0.700767402,AL,Tallapoosa County
0.388529887,0.583798404,AL,Tuscaloosa County
0.153404233,0.827822043,AL,Walker County
0.278615167,0.710197833,AL,Washington County
0.710254307,0.284987695,AL,Wilcox County
0.084934178,0.89956119,AL,Winston County
0.314415437,0.620236744,AR,Arkansas County
0.299987542,0.665005606,AR,Ashley County
0.212701819,0.748773758,AR,Baxter County
0.295919883,0.644490887,AR,Benton County
0.183823529,0.768288084,AR,Boone County
0.364113907,0.5980094,AR,Bradley County
0.282666667,0.690666667,AR,Calhoun County
0.312875375,0.635604354,AR,Carroll County
0.566401543,0.413593637,AR,Chicot County
0.431081889,0.525762104,AR,Clark County
0.334392774,0.632151221,AR,Clay County
0.175551471,0.78993984,AR,Cleburne County
0.21915732,0.745680509,AR,Cleveland County
0.355324205,0.617404096,AR,Columbia County
0.338777593,0.618093658,AR,Conway County
0.299531,0.651967513,AR,Craighead County
0.202031144,0.751749041,AR,Crawford County
0.529687302,0.440119002,AR,Crittenden County
0.292050944,0.67003367,AR,Cross County
0.425027362,0.549799343,AR,Dallas County
0.526975864,0.453147184,AR,Desha County
0.360805861,0.60546398,AR,Drew County
0.313281857,0.629151928,AR,Faulkner County
0.205434458,0.751567632,AR,Franklin County
0.224915683,0.731450253,AR,Fulton County
0.304509507,0.645883432,AR,Garland County
0.205251641,0.75273523,AR,Grant County
0.211898488,0.741783386,AR,Greene County
0.339490263,0.628722795,AR,Hempstead County
0.265509945,0.690055015,AR,Hot Spring County
0.291324989,0.68083729,AR,Howard County
0.214089117,0.738302462,AR,Independence County
0.205893254,0.749073388,AR,Izard County
0.310818771,0.640486943,AR,Jackson County
0.612116965,0.359420628,AR,Jefferson County
0.269089697,0.674891631,AR,Johnson County
0.362610229,0.617283951,AR,Lafayette County
0.224373779,0.721975484,AR,Lawrence County
0.577563249,0.409121172,AR,Lee County
0.328264289,0.643681175,AR,Lincoln County
0.269067797,0.694144838,AR,Little River County
0.218395203,0.731853553,AR,Logan County
0.210640365,0.743555257,AR,Lonoke County
0.234001769,0.725007372,AR,Madison County
0.204971718,0.755730872,AR,Marion County
0.266812363,0.705151421,AR,Miller County
0.432550981,0.537745287,AR,Mississippi County
0.469269704,0.506146059,AR,Monroe County
0.213352685,0.746879536,AR,Montgomery County
0.357562635,0.618929787,AR,Nevada County
0.187349236,0.770570893,AR,Newton County
0.437202712,0.541139561,AR,Ouachita County
0.24566817,0.70709708,AR,Perry County
0.622570351,0.354366115,AR,Phillips County
0.172901921,0.796258847,AR,Pike County
0.355479841,0.596062843,AR,Poinsett County
0.148996429,0.81344662,AR,Polk County
0.223624971,0.72842887,AR,Pope County
0.238542891,0.735311398,AR,Prairie County
0.566652719,0.387895618,AR,Pulaski County
0.225724695,0.714082053,AR,Randolph County
0.254892151,0.68984626,AR,Saline County
0.16804773,0.788200199,AR,Scott County
0.162520281,0.799080584,AR,Searcy County
0.279725417,0.660490851,AR,Sebastian County
0.237989816,0.726367058,AR,Sevier County
0.20472879,0.751738526,AR,Sharp County
0.543847814,0.431057744,AR,St. Francis County
0.215125746,0.738375249,AR,Stone County
0.346860081,0.624372628,AR,Union County
0.217550274,0.756855576,AR,Van Buren County
0.413240695,0.517165048,AR,Washington County
0.187862009,0.766383738,AR,White County
0.438039216,0.527058824,AR,Woodruff County
0.230395993,0.719987478,AR,Yell County
0.653625596,0.284849134,AZ,Apache County
